Company,Post Money Value (Billions),Post Money Value (Millions),Total Equity Funding (Millions),Lead Investors Include,Country,Continent,Month,Year,Industry
Rad Power Bikes,2,2000,329,Fidelity Management and Research Company,United States,North America,2,2018,Healthcare & Life Sciences
Radiology Partners,4,4000,1000,Starr Investment Holdings LLC,United States,North America,11,2017,Industrials
Radius Payment Solutions,1,1000,200,Inflexion,United Kingdom,Europe,1,2018,Financial Services
Raisin,1,1000,271,M&G Investments,Germany,Europe,3,2023,Financial Services
Rakuten Securities,3,3000,0,FXCM Asia,Japan,Asia,12,2023,Enterprise Tech
Ramp,6,6000,967,Multiple Investors,United States,North America,3,2021,Enterprise Tech
Rapid,1,1000,273,SoftBank Vision Fund,United States,North America,3,2022,Enterprise Tech
Rappi,5,5000,2000,T. Rowe Price,Colombia,South America,8,2018,Consumer & Retail
Razor Group,1,1000,255,L Catterton,Germany,Europe,11,2021,Consumer & Retail
Razorpay,7,7000,742,Multiple Investors,India,Asia,10,2020,Financial Services
Rebel Foods,1,1000,514,Mando Corporation,India,Asia,10,2021,Consumer & Retail
Rebellion Defense,1,1000,150,Multiple Investors,United States,North America,9,2021,Industrials
Rec Room,4,4000,294,Coatue,United States,North America,3,2021,Media & Entertainment
Recharge,2,2000,277,Summit Partners,United States,North America,5,2021,Enterprise Tech
Recover,1,1000,100,Goldman Sachs Asset Management,Spain,Europe,6,2022,Industrials
Red Ventures,1,1000,250,Silver Lake,United States,North America,1,2015,Media & Entertainment
Redesign Health,2,2000,315,General Catalyst,United States,North America,9,2022,Healthcare & Life Sciences
Redis,2,2000,356,Tiger Global Management,United States,North America,8,2020,Enterprise Tech
Redwood Materials,5,5000,2000,Multiple Investors,United States,North America,7,2021,Industrials
REEF,1,1000,2000,Multiple Investors,United States,North America,12,2018,Industrials
Reify Health,5,5000,479,Multiple Investors,United States,North America,8,2021,Healthcare & Life Sciences
Relativity,4,4000,125,Silver Lake,United States,North America,11,2020,Industrials
Relativity Space,4,4000,1000,Fidelity Management and Research Company,United States,North America,3,2021,Enterprise Tech
RELEX Solutions,6,6000,803,Blackstone Group,Finland,Europe,2,2022,Consumer & Retail
ReliaQuest,1,1000,330,Kohlberg Kravis Roberts,United States,North America,12,2021,Enterprise Tech
Reltio,2,2000,237,Brighton Park Capital,United States,North America,11,2021,Enterprise Tech
reMarkable,1,1000,24,Spark Capital,Norway,Europe,5,2022,Consumer & Retail
Remote,3,3000,496,SoftBank Vision Fund,United States,North America,7,2021,Enterprise Tech
Replit,1,1000,222,Craft Ventures,United States,North America,4,2023,Enterprise Tech
Resilience,1,1000,2000,Mubadala,United States,North America,10,2020,Healthcare & Life Sciences
Restaurant365,1,1000,263,Multiple Investors,United States,North America,5,2023,Consumer & Retail
Retool,3,3000,141,Sequoia Capital,United States,North America,12,2021,Enterprise Tech
Revolution Precrafted,1,1000,15,500 Global,Philippines,Asia,10,2017,Industrials
RIDI,1,1000,181,GIC,South Korea,Asia,1,2022,Media & Entertainment
Rightway,1,1000,130,Khosla Ventures,United States,North America,3,2021,Healthcare & Life Sciences
Rimac Group,2,2000,876,Multiple Investors,Croatia,Europe,6,2022,Industrials
Rivigo,1,1000,249,Multiple Investors,India,Asia,7,2019,Industrials
Ro,7,7000,1000,ShawSpring Partners,United States,North America,7,2020,Healthcare & Life Sciences
Rohlik,1,1000,613,Sofina,Czech Republic,Europe,7,2021,Consumer & Retail
Rokid,1,1000,473,NetDragon,United States,North America,11,2023,Enterprise Tech
ROKT,2,2000,487,Tiger Global Management,United States,North America,12,2021,Consumer & Retail
Rong Semiconductor,1,1000,0,Multiple Investors,China,Asia,8,2021,Industrials
Roofstock,2,2000,365,SoftBank Vision Fund,United States,North America,3,2022,Financial Services
RootCloud,1,1000,195,IDG Capital,China,Asia,12,2020,Industrials
Rothy's,1,1000,484,Alpargatas,United States,North America,12,2021,Consumer & Retail
Route,1,1000,249,Craft Ventures,United States,North America,4,2022,Industrials
ROX Motor,2,2000,1000,Shandong Weiqiao Pioneering Group,China,Asia,8,2015,Industrials
Royole Corporation,5,5000,492,Yingke Capital,China,Asia,4,2017,Enterprise Tech
Rubrik,4,4000,553,Microsoft,United States,North America,4,2017,Enterprise Tech
Ruipeng Pet Healthcare,4,4000,37,Nestlé Health Science,China,Asia,9,2020,Healthcare & Life Sciences
Runpeng Semiconductor,2,2000,2000,China Resources Microelectronics,China,Asia,8,2023,Industrials
Runway,2,2000,237,Google,United States,North America,5,2023,Media & Entertainment
Ryefield Energy,1,1000,142,Sparkedge Capital,China,Asia,6,2023,Industrials
SafetyCulture,3,3000,244,Multiple Investors,Australia,Oceania,5,2021,Industrials
SAIC Mobility,1,1000,193,SAIC Motor,China,Asia,8,2022,Transportation
Saks.com,2,2000,500,Insight Partners,United States,North America,3,2021,Consumer & Retail
Salsify,2,2000,453,TPG,United States,North America,4,2022,Consumer & Retail
Salt Security,1,1000,271,CrowdStrike Falcon Fund,United States,North America,2,2022,Enterprise Tech
SambaNova Systems,5,5000,1000,SoftBank Vision Fund,United States,North America,4,2021,Enterprise Tech
Satispay,1,1000,471,Addition,Italy,Europe,9,2022,Financial Services
Savage X Fenty,1,1000,310,Neuberger Berman,United States,North America,2,2021,Consumer & Retail
Saxo Bank,1,1000,201,General Atlantic,Denmark,Europe,8,2023,Financial Services
Scalable Capital,1,1000,314,Tencent,Germany,Europe,6,2021,Financial Services
Scalapay,1,1000,443,Poste Italiane,Italy,Europe,2,2022,Financial Services
Scale AI,7,7000,603,Multiple Investors,United States,North America,8,2019,Enterprise Tech
Scandit,1,1000,273,Warburg Pincus,Switzerland,Europe,2,2022,Enterprise Tech
Scivita Medical Technology,1,1000,124,Multiple Investors,China,Asia,4,2021,Healthcare & Life Sciences
Scroll.io,2,2000,80,Qiming Venture Partners,Seychelles,Africa,3,2023,Financial Services
Seasun,1,1000,142,Tencent,China,Asia,4,2017,Enterprise Tech
SeatGeek,1,1000,400,Accel,United States,North America,8,2022,Media & Entertainment
Securonix,1,1000,1000,Vista Equity Partners,United States,North America,2,2022,Enterprise Tech
SeekOut,1,1000,189,Tiger Global Management,United States,North America,1,2022,Enterprise Tech
Seismic,3,3000,447,Permira,United States,North America,12,2018,Enterprise Tech
SellerX,1,1000,830,Sofina,Germany,Europe,12,2021,Consumer & Retail
SemiDrive,1,1000,366,Shang Qi Capital,China,Asia,9,2022,Transportation
Semios,1,1000,183,Morningside Group,Canada,North America,9,2021,Agricultural
Semperis,1,1000,240,Kohlberg Kravis Roberts,United States,North America,4,2023,Enterprise Tech
Sendbird,1,1000,221,Steadfast Financial,United States,North America,4,2021,Enterprise Tech
sennder,1,1000,340,Baillie Gifford,Germany,Europe,1,2021,Industrials
Sentry,3,3000,217,Multiple Investors,United States,North America,2,2021,Enterprise Tech
SFCC,2,2000,817,Multiple Investors,China,Asia,12,2022,Industrials
ShareChat,5,5000,2000,Times Internet,India,Asia,4,2021,Media & Entertainment
Shield AI,3,3000,678,Multiple Investors,United States,North America,8,2021,Industrials
Shift Technology,1,1000,540,Multiple Investors,France,Europe,5,2021,Insurance
ShiftKey,2,2000,300,Lorient Capital,United States,North America,1,2023,Healthcare & Life Sciences
ShipBob,1,1000,331,Bain Capital Ventures,United States,North America,6,2021,Consumer & Retail
Shippo,1,1000,154,Bessemer Venture Partners,United States,North America,6,2021,Industrials
Shiprocket,1,1000,399,McKinsey & Company,India,Asia,8,2022,Consumer & Retail
Shouqi Limousine & Chauffeur,1,1000,140,Multiple Investors,China,Asia,11,2017,Transportation
Side,3,3000,264,Tiger Global Management,United States,North America,3,2021,Financial Services
Sidecar Health,1,1000,163,Drive Capital,United States,North America,1,2021,Healthcare & Life Sciences
Sidewalk Infrastructure Partners,1,1000,800,StepStone Group,United States,North America,2,2022,Industrials
SiEngine Technology,1,1000,220,Sequoia Capital China,China,Asia,3,2023,Transportation
Sierra Space,5,5000,2000,Multiple Investors,United States,North America,11,2021,Enterprise Tech
SiFive,3,3000,366,Coatue,United States,North America,3,2022,Enterprise Tech
Sift,1,1000,157,Insight Partners,United States,North America,4,2021,Enterprise Tech
Sightline Payments,1,1000,348,JP Morgan,United States,North America,8,2021,Financial Services
Signifyd,1,1000,390,Owl Rock Capital,United States,North America,4,2021,Consumer & Retail
Sila Nanotechnologies,3,3000,880,Coatue,United States,North America,4,2019,Industrials
Simply (formerly JoyTunes),1,1000,92,Google Ventures,Israel,Asia,6,2021,Media & Entertainment
SingleStore,1,1000,414,Multiple Investors,United States,North America,7,2022,Enterprise Tech
Singulato Motors,3,3000,1000,ITOCHU Corporation,China,Asia,10,2019,Transportation
Sinovac Life Sciences,3,3000,500,Sino Biopharmaceutical,China,Asia,12,2020,Healthcare & Life Sciences
Sisense,1,1000,275,Insight Partners,United States,North America,1,2020,Enterprise Tech
SJ Semi,2,2000,920,Walden International,China,Asia,3,2022,Industrials
Skims,4,4000,701,Wellington Management,United States,North America,4,2021,Consumer & Retail
SKIO Matrix,1,1000,299,IDG Capital,China,Asia,8,2018,Industrials
Sky Mavis,2,2000,311,Binance,Vietnam,Asia,10,2021,Media & Entertainment
Skydance Media,4,4000,675,Kohlberg Kravis Roberts,United States,North America,2,2020,Media & Entertainment
Skydio,2,2000,570,Linse Capital,United States,North America,2,2021,Industrials
slice,2,2000,299,Tiger Global Management,India,Asia,11,2021,Financial Services
SmartAsset,1,1000,161,TTV Capital,United States,North America,6,2021,Financial Services
SmartHR,2,2000,190,Light Street Capital,Japan,Asia,6,2021,Enterprise Tech
SmartMi International Limited,1,1000,50,GIC,China,Asia,4,2016,Consumer & Retail
SmartMore Corporation Limited,1,1000,300,Hermitage Capital,China,Asia,6,2021,Industrials
SmartNews,2,2000,410,Multiple Investors,Japan,Asia,8,2019,Media & Entertainment
SmartRecruiters,2,2000,225,Silver Lake Waterman,United States,North America,7,2021,Enterprise Tech
Snapdeal,7,7000,2000,Anand Piramal,India,Asia,5,2014,Consumer & Retail
Snapdocs,2,2000,253,Tiger Global Management,United States,North America,5,2021,Financial Services
SnapLogic,1,1000,371,Sixth Street,United States,North America,12,2021,Enterprise Tech
Snorkel AI,1,1000,135,Multiple Investors,United States,North America,8,2021,Enterprise Tech
Snyk,7,7000,1000,ServiceNow,United States,North America,1,2020,Enterprise Tech
Socure,5,5000,647,Multiple Investors,United States,North America,3,2021,Financial Services
Solaris,2,2000,490,Decisive Capital Management,Germany,Europe,7,2021,Financial Services
Solo.io,1,1000,172,Altimeter Capital,United States,North America,10,2021,Enterprise Tech
Solugen,2,2000,642,Multiple Investors,United States,North America,9,2021,Industrials
Somatus,3,3000,465,Wellington Management,United States,North America,2,2022,Healthcare & Life Sciences
SonarSource,5,5000,457,Multiple Investors,Switzerland,Europe,4,2022,Enterprise Tech
SonderMind,1,1000,183,Multiple Investors,United States,North America,7,2021,Healthcare & Life Sciences
Sorare,4,4000,739,SoftBank,France,Europe,9,2021,Media & Entertainment
Soterea,1,1000,204,Ping An Capital,China,Asia,3,2022,Transportation
Souche,3,3000,1000,Multiple Investors,China,Asia,11,2017,Industrials
Sourcegraph,3,3000,248,Andreessen Horowitz,United States,North America,7,2021,Enterprise Tech
Spark Education Group,2,2000,593,Trustbridge Partners,China,Asia,2,2021,Education
SparkCognition,1,1000,286,Multiple Investors,United States,North America,1,2022,Enterprise Tech
Spendesk,1,1000,312,Tiger Global Management,France,Europe,1,2022,Enterprise Tech
Spiber Inc.,1,1000,520,The Carlyle Group,Japan,Asia,9,2021,Industrials
Spinny,2,2000,476,Sachin Tendulkar,India,Asia,11,2021,Industrials
Splashtop,1,1000,114,Sapphire Ventures,United States,North America,1,2021,Enterprise Tech
SpotOn,4,4000,918,Dragoneer Investment Group,United States,North America,5,2021,Financial Services
Spotter,2,2000,231,SoftBank Vision Fund,United States,North America,2,2022,Financial Services
Spring Health,3,3000,367,Kinnevik,United States,North America,9,2021,Healthcare & Life Sciences
Squirrel AI Learning,1,1000,190,Multiple Investors,China,Asia,6,2018,Education
SSENSE,4,4000,0,Sequoia Capital China,Canada,North America,6,2021,Consumer & Retail
Stability AI,1,1000,99,Intel Corporation,United Kingdom,Europe,10,2022,Enterprise Tech
Staffbase,1,1000,307,General Atlantic,Germany,Europe,3,2022,Enterprise Tech
Standard Cognition,1,1000,239,SoftBank Vision Fund,United States,North America,2,2021,Consumer & Retail
Star Charge,2,2000,125,Hillhouse Capital Group,China,Asia,5,2021,Industrials
Starburst,3,3000,414,Alkeon Capital,United States,North America,1,2021,Enterprise Tech
StarkWare Industries,8,8000,261,Multiple Investors,Israel,Asia,11,2021,Enterprise Tech
Starling Bank,3,3000,956,Goldman Sachs,United Kingdom,Europe,3,2021,Financial Services
Stash Financial,1,1000,426,Multiple Investors,United States,North America,2,2021,Financial Services
Stax,1,1000,263,Fulcrum Equity Partners,United States,North America,3,2022,Financial Services
stc pay,1,1000,200,Western Union,Saudi Arabia,Asia,11,2020,Financial Services
StockX,4,4000,495,Altimeter Capital,United States,North America,6,2019,Consumer & Retail
Stord,1,1000,325,Franklin Templeton Investments,United States,North America,9,2021,Industrials
StoreDot,2,2000,206,Multiple Investors,Israel,Asia,1,2022,Industrials
Stori,1,1000,225,Multiple Investors,Mexico,North America,7,2022,Financial Services
Strava,2,2000,152,Multiple Investors,United States,North America,11,2020,Healthcare & Life Sciences
Stytch,1,1000,126,Coatue,United States,North America,11,2021,Enterprise Tech
SumUp,4,4000,682,Bain Capital Tech Opportunities,United Kingdom,Europe,7,2019,Financial Services
Sunbit,1,1000,210,Group 11,United States,North America,5,2021,Financial Services
Suning Sports,3,3000,600,Multiple Investors,China,Asia,7,2018,Consumer & Retail
Sunwoda Electric Vehicle Battery,5,5000,2000,Multiple Investors,China,Asia,2,2022,Transportation
SVOLT,6,6000,3000,Bank of China Group Investment,China,Asia,6,2020,Industrials
Swiftly,1,1000,216,BRV Capital Management,United States,North America,9,2022,Consumer & Retail
Swile,1,1000,326,SoftBank,France,Europe,10,2021,Enterprise Tech
Sword Health,2,2000,296,Sapphire Ventures,United States,North America,11,2021,Healthcare & Life Sciences
Symphony Communication Services,1,1000,511,Multiple Investors,United States,North America,5,2017,Financial Services
Syniverse,3,3000,753,Twilio,United States,North America,12,2021,Enterprise Tech
Synthesia,1,1000,157,Accel,United Kingdom,Europe,6,2023,Enterprise Tech
Sysdig,3,3000,730,Permira,United States,North America,4,2021,Enterprise Tech
T3 Mobile Travel Services,1,1000,3000,CITIC Capital Holdings,China,Asia,10,2021,Transportation
Tabby,2,2000,394,Wellington Management,United Arab Emirates,Asia,11,2023,Financial Services
Tackle,1,1000,148,Multiple Investors,United States,North America,12,2021,Enterprise Tech
Talos,1,1000,145,General Atlantic,United States,North America,5,2022,Financial Services
Tanium,9,9000,775,Salesforce Ventures,United States,North America,3,2015,Enterprise Tech
Taobao Movie,2,2000,260,Multiple Investors,China,Asia,1,2018,Media & Entertainment
Tarana Wireless,1,1000,426,Digital Alpha,United States,North America,3,2022,Industrials
Tata Passenger Electric Mobility,9,9000,988,TPG Rise Climate Fund,India,Asia,1,2023,Transportation
TaxBit,1,1000,253,Haun Ventures,United States,North America,8,2021,Financial Services
Taxfix,1,1000,330,Ontario Teachers' Pension Plan,Germany,Europe,4,2022,Financial Services
TBM Japan,1,1000,181,SK Group,Japan,Asia,7,2021,Industrials
Tealium,1,1000,264,Multiple Investors,United States,North America,2,2021,Enterprise Tech
Tebra,1,1000,137,Golub Capital,United States,North America,7,2022,Healthcare & Life Sciences
TechStyle Fashion Group,1,1000,336,Shining Capital,United States,North America,8,2014,Consumer & Retail
Tekion,4,4000,435,Multiple Investors,United States,North America,10,2020,Industrials
Teld New Energy,1,1000,396,Multiple Investors,China,Asia,12,2019,Industrials
Teleport,1,1000,169,Bessemer Venture Partners,United States,North America,5,2022,Enterprise Tech
Temporal Technologies,2,2000,204,Greenoaks,United States,North America,2,2022,Enterprise Tech
Tempus,8,8000,920,Google,United States,North America,3,2018,Healthcare & Life Sciences
Tencent Trusted Doctors,1,1000,255,Multiple Investors,China,Asia,4,2019,Healthcare & Life Sciences
Tenglong Holding Group,1,1000,4000,Multiple Investors,China,Asia,12,2019,Enterprise Tech
Tenstorrent,1,1000,235,Multiple Investors,Canada,North America,5,2021,Enterprise Tech
TeraWatt Infrastructure,1,1000,1000,Vision Ridge Capital Partners,United States,North America,11,2022,Transportation
Terminus Technologies,1,1000,623,Warburg Pincus,China,Asia,10,2018,Industrials
TerraPower,1,1000,750,Multiple Investors,United States,North America,11,2022,Industrials
Tessera Therapeutics,2,2000,532,Multiple Investors,United States,North America,4,2022,Healthcare & Life Sciences
Teya,1,1000,1000,Accel,United Kingdom,Europe,4,2021,Financial Services
Tezign,1,1000,51,Temasek Holdings,China,Asia,11,2021,Enterprise Tech
thatgamecompany,1,1000,189,Multiple Investors,United States,North America,3,2022,Media & Entertainment
The Bank of London,1,1000,130,Multiple Investors,United Kingdom,Europe,11,2021,Financial Services
The Boring Company,7,7000,908,Multiple Investors,United States,North America,4,2022,Industrials
The Brandtech Group,2,2000,610,Chrysalis Investments,United States,North America,11,2019,Enterprise Tech
The CrownX,8,8000,750,Multiple Investors,Vietnam,Asia,6,2021,Consumer & Retail
The Zebra,1,1000,257,Accel,United States,North America,4,2021,Insurance
THG Ingenuity,8,8000,2000,SoftBank,United Kingdom,Europe,5,2016,Consumer & Retail
Thirty Madison,1,1000,210,HealthQuest Capital,United States,North America,6,2021,Healthcare & Life Sciences
Thought Machine,3,3000,563,Temasek Holdings,United Kingdom,Europe,11,2021,Financial Services
ThoughtSpot,4,4000,664,March Capital,United States,North America,5,2018,Enterprise Tech
Thumbtack,3,3000,698,Qatar Investment Authority,United States,North America,9,2015,Consumer & Retail
Tianbing Technology,2,2000,29,CITIC Construction Investment,China,Asia,11,2023,Industrials
Tianyu Semiconductor,2,2000,177,Multiple Investors,China,Asia,2,2023,Industrials
TIER Mobility,2,2000,587,SoftBank Vision Fund,Germany,Europe,10,2021,Industrials
Timescale,1,1000,181,Tiger Global Management,United States,North America,2,2022,Enterprise Tech
Tinder,3,3000,0,Benchmark,United States,North America,7,2015,Enterprise Tech
Tipalti,8,8000,549,G Squared,United States,North America,10,2020,Enterprise Tech
To8to,2,2000,216,Sequoia Capital China,China,Asia,3,2015,Enterprise Tech
Tongdun Technology,1,1000,252,China Merchants Capital,China,Asia,4,2019,Enterprise Tech
Toss,7,7000,1000,Tonic Private Equity,South Korea,Asia,12,2018,Financial Services
Toss Bank,2,2000,733,Welcome Capital,South Korea,Asia,10,2020,Financial Services
Tractable,1,1000,185,SoftBank Vision Fund,United Kingdom,Europe,6,2021,Insurance
Trade Republic,5,5000,1000,Ontario Teachers' Pension Plan,Germany,Europe,5,2021,Financial Services
Tradeshift,2,2000,931,HSBC,United States,North America,5,2018,Enterprise Tech
TradingView,3,3000,339,Tiger Global Management,United Kingdom,Europe,10,2021,Financial Services
Transcarent,2,2000,298,Multiple Investors,United States,North America,1,2022,Healthcare & Life Sciences
TransferMate,1,1000,130,RPMI Railpen,Ireland,Europe,5,2022,Financial Services
Transmit Security,3,3000,583,Multiple Investors,United States,North America,6,2021,Enterprise Tech
Traveloka,3,3000,1000,PTT Oil and Retail Business Public Company,Indonesia,Asia,1,2017,Consumer & Retail
TravelPerk,1,1000,427,Kinnevik,Spain,Europe,1,2022,Enterprise Tech
Trax,2,2000,1000,Multiple Investors,Singapore,Asia,7,2019,Consumer & Retail
Trendy International Group,2,2000,200,L Catterton Asia,China,Asia,2,2012,Consumer & Retail
Tresata,1,1000,51,GCP Capital Partners,United States,North America,10,2018,Financial Services
TrialSpark,1,1000,156,Multiple Investors,United States,North America,9,2021,Healthcare & Life Sciences
Tridge,3,3000,114,DS Asset Management,South Korea,Asia,8,2022,Industrials
Triller,1,1000,333,Proxima Media,United States,North America,7,2020,Media & Entertainment
Tripledot Studios,1,1000,252,The Twenty Minute VC,United Kingdom,Europe,2,2022,Media & Entertainment
TrueLayer,1,1000,271,Tiger Global Management,United Kingdom,Europe,9,2021,Financial Services
Truepill,2,2000,255,Oak HC/FT,United States,North America,10,2021,Healthcare & Life Sciences
Trulioo,2,2000,474,TCV,Canada,North America,6,2021,Financial Services
Trumid,2,2000,658,Point Break Capital Management,United States,North America,7,2020,Financial Services
TTTech Auto,1,1000,286,Multiple Investors,Austria,Europe,2,2022,Enterprise Tech
Tuhu,1,1000,875,Tencent,China,Asia,9,2018,Industrials
Tujia,2,2000,755,Multiple Investors,China,Asia,6,2015,Consumer & Retail
Turing.com,4,4000,136,AltaIR Capital,United States,North America,12,2021,Enterprise Tech
Turntide Technologies,1,1000,266,Climate Investment,United States,North America,6,2022,Industrials
Turo,1,1000,498,Multiple Investors,United States,North America,7,2019,Transportation
Typeface,1,1000,165,Salesforce Ventures,United States,North America,6,2023,Enterprise Tech
Ualá,2,2000,544,Multiple Investors,Argentina,South America,8,2021,Financial Services
Uber Freight,3,3000,1000,Greenbriar Equity Group,United States,North America,5,2017,Transportation
Udaan,3,3000,1000,EvolutionX,India,Asia,9,2018,Consumer & Retail
Udacity,1,1000,160,Bertelsmann,United States,North America,11,2015,Enterprise Tech
Ultima Genomics,1,1000,600,Multiple Investors,United States,North America,6,2022,Healthcare & Life Sciences
Unacademy,3,3000,789,Temasek Holdings,India,Asia,9,2020,Consumer & Retail
unico IDtech,3,3000,337,Multiple Investors,Brazil,South America,8,2021,Enterprise Tech
Uniphore,3,3000,607,New Enterprise Associates,United States,North America,2,2022,Enterprise Tech
Unisound,1,1000,361,Multiple Investors,China,Asia,7,2018,Enterprise Tech
Uniswap,2,2000,176,Polychain,United States,North America,10,2022,Financial Services
Unit,1,1000,170,Insight Partners,United States,North America,5,2022,Financial Services
Unite Us,2,2000,195,ICONIQ Capital,United States,North America,3,2021,Healthcare & Life Sciences
Unqork,2,2000,365,BlackRock,United States,North America,10,2020,Insurance
Unstoppable Domains,1,1000,72,Pantera Capital,United States,North America,7,2022,Media & Entertainment
UpGrad,2,2000,662,Ronnie Screwvala,India,Asia,8,2021,Consumer & Retail
Upgrade,6,6000,587,Multiple Investors,United States,North America,2,2018,Financial Services
Uplight,2,2000,0,Multiple Investors,United States,North America,3,2021,Industrials
Upside,2,2000,65,General Catalyst,United States,North America,4,2022,Consumer & Retail
UPSIDE Foods,1,1000,598,Multiple Investors,United States,North America,4,2022,Consumer & Retail
Upstox,4,4000,143,Tiger Global Management,India,Asia,11,2021,Financial Services
Uptake Technologies,2,2000,218,Baillie Gifford,United States,North America,10,2015,Industrials
Urban Company,2,2000,371,Multiple Investors,India,Asia,4,2021,Consumer & Retail
UST,1,1000,250,Temasek Holdings,United States,North America,6,2018,Enterprise Tech
Vagaro,1,1000,163,FTV Capital,United States,North America,11,2021,Consumer & Retail
VANCL,3,3000,522,Jun Lei,China,Asia,4,2019,Consumer & Retail
Vanta,2,2000,203,CrowdStrike,United States,North America,6,2022,Enterprise Tech
Varo Money,3,3000,987,Lone Pine Capital,United States,North America,9,2021,Financial Services
VAST Data,4,4000,263,Tiger Global Management,United States,North America,4,2020,Enterprise Tech
Vayyar,2,2000,296,Koch Disruptive Technologies,Israel,Asia,6,2022,Industrials
VectorBuilder,1,1000,58,Guangzhou Yuexiu Industrial Investment Fund,United States,North America,7,2023,Healthcare & Life Sciences
Vectra,1,1000,353,TCV,United States,North America,4,2021,Enterprise Tech
Vedantu,1,1000,292,Orios Venture Partners,India,Asia,9,2021,Consumer & Retail
Veepee,1,1000,0,Qatar Holding,France,Europe,7,2007,Consumer & Retail
Veho,2,2000,299,Multiple Investors,United States,North America,12,2021,Consumer & Retail
Velocity Global,1,1000,500,Multiple Investors,United States,North America,4,2022,Enterprise Tech
Vendr,1,1000,216,Multiple Investors,United States,North America,2,2022,Enterprise Tech
Verbit,2,2000,432,Third Point Ventures,United States,North America,6,2021,Enterprise Tech
Vercel,3,3000,313,GGV Capital,United States,North America,6,2021,Enterprise Tech
Veriff,2,2000,177,Multiple Investors,Estonia,Europe,1,2022,Enterprise Tech
Verily,1,1000,4000,Google,United States,North America,9,2022,Healthcare & Life Sciences
Verkada,3,3000,444,Alkeon Capital,United States,North America,1,2020,Industrials
Verkor,1,1000,1000,Macquarie Group,France,Europe,9,2023,Industrials
VerSe Innovation,5,5000,2000,Multiple Investors,India,Asia,12,2020,Media & Entertainment
Vestiaire Collective,2,2000,643,Multiple Investors,France,Europe,3,2021,Consumer & Retail
Vesttoo,1,1000,103,Multiple Investors,Israel,Asia,10,2022,Enterprise Tech
Via,4,4000,887,83North,United States,North America,3,2020,Industrials
Vice Media,6,6000,1000,TPG,United States,North America,5,2015,Media & Entertainment
VideoAmp,1,1000,382,Multiple Investors,United States,North America,10,2021,Enterprise Tech
Vinted,5,5000,562,EQT,Lithuania,Europe,11,2019,Consumer & Retail
VIPKID,5,5000,1000,Tencent,China,Asia,8,2016,Consumer & Retail
Virta Health,2,2000,373,Tiger Global Management,United States,North America,12,2020,Healthcare & Life Sciences
Visby Medical,1,1000,328,Lightrock,United States,North America,3,2022,Healthcare & Life Sciences
Vise,1,1000,128,Ribbit Capital,United States,North America,5,2021,Financial Services
Visier,1,1000,217,Goldman Sachs Asset Management,Canada,North America,6,2021,Enterprise Tech
VistaJet,3,3000,150,Rhône Group,United States,North America,1,2018,Transportation
Vital Thin Film Materials,2,2000,815,CICC,China,Asia,6,2023,Industrials
Viva Wallet,2,2000,190,JP Morgan,Greece,Europe,12,2022,Financial Services
Viz,1,1000,292,CIBC Innovation Banking,United States,North America,4,2022,Healthcare & Life Sciences
VNG,1,1000,0.5,CyberAgent Capital,Vietnam,Asia,9,2023,Media & Entertainment
VNLIFE,1,1000,550,Multiple Investors,Vietnam,Asia,7,2021,Enterprise Tech
VOI Technology,1,1000,516,Multiple Investors,Sweden,Europe,12,2021,Industrials
Volocopter,2,2000,781,Multiple Investors,Germany,Europe,3,2022,Industrials
Voodoo,2,2000,517,Groupe Bruxelles Lambert,France,Europe,8,2020,Media & Entertainment
Voyager Innovations,1,1000,502,Susquehanna International Group (SIG),Philippines,Asia,4,2022,Financial Services
Voyah,4,4000,702,Multiple Investors,Japan,Asia,11,2022,Industrials
VTS,2,2000,312,Brookfield Growth,United States,North America,5,2019,Financial Services
VulcanForms,1,1000,355,D1 Capital Partners,United States,North America,7,2022,Industrials
Vuori,4,4000,445,SoftBank Vision Fund,United States,North America,10,2021,Consumer & Retail
Wanda E-Commerce,3,3000,975,WANDA Group,China,Asia,1,2015,Consumer & Retail
Wasabi Technologies,1,1000,397,Multiple Investors,United States,North America,9,2022,Enterprise Tech
Watershed,1,1000,139,Multiple Investors,United States,North America,2,2022,Enterprise Tech
Wave Mobile Money,2,2000,210,Alameda Research,Senegal,Africa,9,2021,Financial Services
Wayflyer,2,2000,236,Multiple Investors,Ireland,Europe,2,2022,Financial Services
Wayve,1,1000,257,Eclipse Ventures,United Kingdom,Europe,1,2022,Industrials
Wealthfront,1,1000,205,UBS,United States,North America,9,2022,Financial Services
Wealthsimple,4,4000,900,Multiple Investors,Canada,North America,10,2020,Financial Services
WeBank,5,5000,183,Tencent,China,Asia,9,2019,Financial Services
Webflow,4,4000,335,Y Combinator Continuity Fund,United States,North America,1,2021,Enterprise Tech
WeDoctor,7,7000,1000,Multiple Investors,China,Asia,9,2015,Healthcare & Life Sciences
Weee!,4,4000,863,SoftBank Vision Fund,United States,North America,3,2021,Consumer & Retail
wefox,5,5000,1000,Squarepoint Capital,Germany,Europe,3,2019,Insurance
Weidian Group,1,1000,368,Tencent,China,Asia,4,2020,Enterprise Tech
Weights & Biases,1,1000,250,Multiple Investors,United States,North America,10,2021,Enterprise Tech
WeLab,1,1000,875,Allianz X,Hong Kong,Asia,11,2017,Financial Services
Wellong Etown,2,2000,0,CCB International,China,Asia,6,2023,Transportation
